,card,exp,issuer,year
0,6011325926714465,02/2023,DISC,2023
1,6011687948781644,02/2023,DISC,2023
2,4567958456643465,07/2022,VISA,2022
3,4235823774487478,03/2023,VISA,2023
4,4982444199283999,12/2022,VISA,2022
5,4361887317623465,09/2022,VISA,2022
6,4329756292125518,03/2023,VISA,2023
7,5148971911943151,01/2023,MC,2023
8,5515291817424692,09/2022,MC,2022
9,4927111486154963,07/2023,VISA,2023
10,6011932695592657,02/2023,DISC,2023
11,4785621439617834,07/2022,VISA,2022
12,5153267744458828,04/2023,MC,2023
13,4228962471451244,09/2022,VISA,2022
14,5534535995648697,07/2022,MC,2022
15,4176678427363497,07/2023,VISA,2023
16,5449877836785872,11/2022,MC,2022
17,371197849117523,04/2023,AMEX,2023
18,358879669579695,03/2023,AMEX,2023
19,5434562699583484,04/2023,MC,2023
20,6011969589236959,04/2023,DISC,2023
21,4311163396687354,05/2023,VISA,2023
22,5323986211868442,06/2023,MC,2023
23,6011155295914119,01/2023,DISC,2023
24,4725626478442385,04/2023,VISA,2023
25,4584857473589512,07/2022,VISA,2022
26,5295474999519325,03/2023,MC,2023
27,5396696737614319,07/2023,MC,2023
28,4373312196854699,01/2023,VISA,2023
29,4724891457218336,06/2023,VISA,2023
30,367614919782651,10/2022,AMEX,2022
31,4686919162719219,03/2023,VISA,2023
32,4343833527599643,05/2023,VISA,2023
33,4697781484898676,07/2023,VISA,2023
34,5592888415799593,12/2022,MC,2022
35,4942339349946371,01/2023,VISA,2023
36,359957599657952,10/2022,AMEX,2022
37,4843753669862788,03/2023,VISA,2023
38,5543578948134471,03/2023,MC,2023
39,5195956169798979,11/2022,MC,2022
40,4252845142996193,08/2022,VISA,2022
41,60118722374368910,07/2022,DISC,2022
42,4312343328119994,11/2022,VISA,2022
43,4392883517161169,03/2023,VISA,2023
44,4619775351155496,09/2022,VISA,2022
45,5267434271595488,08/2022,MC,2022
46,5392654859874918,07/2023,MC,2023
47,6011861859793688,10/2022,DISC,2022
48,6011143143899328,09/2022,DISC,2022
49,4913942128642759,02/2023,VISA,2023
50,4676149969829126,05/2023,VISA,2023
51,376318428624821,08/2022,AMEX,2022
52,5189361599678578,03/2023,MC,2023
53,4438927361217639,12/2022,VISA,2022
54,5264255973252984,04/2023,MC,2023
55,5573396357914256,05/2023,MC,2023
56,354462358367476,04/2023,AMEX,2023
57,4239483587986798,02/2023,VISA,2023
58,4341249385862654,05/2023,VISA,2023
59,6011642929763293,07/2022,DISC,2022
60,4871222127969374,10/2022,VISA,2022
61,5579769769825753,10/2022,MC,2022
62,4397695167794684,12/2022,VISA,2022
63,359394161965482,08/2022,AMEX,2022
64,5221497615591559,04/2023,MC,2023
65,5473173391862283,01/2023,MC,2023
66,4445439313864261,10/2022,VISA,2022
67,5571555889694551,06/2023,MC,2023
68,4618822387457586,07/2023,VISA,2023
69,5378185361984141,02/2023,MC,2023
70,6011398913882611,06/2023,DISC,2023
71,5212294886283664,09/2022,MC,2022
72,4843174891924215,04/2023,VISA,2023
73,357399491447533,07/2023,AMEX,2023
74,6011596281289992,12/2022,DISC,2022
75,54191515197787610,10/2022,MC,2022
76,5458918719213927,10/2022,MC,2022
77,4711176628135188,08/2023,VISA,2023
